ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Fazalhaq Farooqi to Hetmyer, 2 runs, very full outside off, almost yorker length, Hetmyer digs it out to deep mid-wicket and comes back for two even as the throw comes to his end, RR end on 203 ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Hetmyer, Fazalhaq Farooqi,2,0,Full,off side,mid-wicket,
19.5," Fazalhaq Farooqi to Hetmyer, FOUR, Fazalhaq Farooqi misses the yorker outside off, half-volley outside off, slammed straight down the ground, Hetmyer stayed back and pumped that ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Hetmyer, Fazalhaq Farooqi,4,0,yorker,off side,straight,beaten
19.4," Fazalhaq Farooqi to Hetmyer, 2 runs, comedy of errors! Comical scenes everywhere. A very full delivery outside off, carved to Mayank at sweeper cover, Ashwin does not want the 2nd, but Hetmyer does, they almost run into each other, but avoid, there is a clear run-out chance at Fazalhaq Farooqi's end, but the bowler fumbles the throw to draw a puzzled reaction from Mayank. Ashwin was well out had Farooqi collected and broken the stumps. Amidst all this, they check for a short run too, but Hetmyer has plonked his bat over the line. Phew! ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Hetmyer, Fazalhaq Farooqi,2,0,Full,off side,sweeper,
19.3," Fazalhaq Farooqi to Hetmyer, no run, fantastic yorker outside off, Hetmyer can only dig it back to Fazalhaq Farooqi. Two precious dots ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Hetmyer, Fazalhaq Farooqi,0,0,yorker,off side,,
19.2," Fazalhaq Farooqi to Hetmyer, no run, good yorker outside off, Hetmyer toe-ends the run-down and it has bounced through to Glenn Phillips, they think it's a catch but replays show clearly it has bounced ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Hetmyer, Fazalhaq Farooqi,0,0,Good,off side,,
19.1," Fazalhaq Farooqi to Hetmyer, 2 runs, full outside off, Hetmyer drags the heave to deep mid-wicket and they come back for a quick two ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Hetmyer, Fazalhaq Farooqi,2,0,Full,off side,mid-wicket,
18.6," T Natarajan to Hetmyer, 1 run, low full-toss swinging in to the pads, flicked away to deep backward square leg ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Hetmyer, T Natarajan,1,0,Full toss,undefined,deep backward square,flick shot
18.5," T Natarajan to Ashwin, 1 run, low full-toss on off, Ashwin drives to backward point and a poor throw from Washington way over the stumps at the bowler's end, but long-on is there quickly to mop up ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Ashwin, T Natarajan,1,0,Full toss,off side,backward point,square drive
18.4," T Natarajan to Ashwin, byes, FOUR, sloppy from Glenn Phillips, T Natarajan beats Ashwin with a slower ball across him, Phillips does not get the body behind as he dives forward, gives away four needless runs ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Ashwin, T Natarajan,byes,4,undefined,undefined,,
18.3," T Natarajan to Samson, out Caught by Abhishek Sharma!! Superb balancing act with the left-foot from Abhishek at deep mid-wicket and he sends Samson back. A back of a length delivery outside off, Samson swiped and nearly got it all the way, Abhishek was there on the edge of the cushions, takes it and then juggles his left-foot beautifully to not touch the skirting. Samson c Abhishek Sharma b T Natarajan 55(32) [4s-3 6s-4] ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Rahul Tripathi, Harry Brook, Glenn Phillips(w), Washington Sundar, Adil Rashid, Bhuvneshwar Kumar(c), Umran Malik, T Natarajan, Fazalhaq Farooqi","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Jason Holder, Ravichandran Ashwin, Trent Boult, KM Asif, Yuzvendra Chahal","Sunrisers Hyderabad Subs: Abdul Samad, Mayank Dagar, Upendra Yadav, Mayank Markande, Vivrant Sharma.","Rajasthan Royals Subs:  Sandeep Sharma, Donavon Ferreira, Dhruv Jurel, Navdeep Saini, Murugan Ashwin.",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","Apr 02,2023",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 72 runs,Jos Buttler,SRH,field,RR,SRH,Samson, T Natarajan,out,out,Back of Length,off side,mid-wicket,edge
